"FONDO","CONCURSO","ANIO","CONTRATO","TITULO","FECHA_INICIO","FECHA_FIN","NOMBRE_SOLICITANTE","DISTRITO","PROVINCIA","DEPARTAMENTO","UBIGEO","MONTO_RNR","MONTO_FINANCIERO","MONTO_NO_FINANCIERO","MONEDA","FECHA_CORTE"
"BID 4","PROGRAMA DE INNOVACIÓN MODERNIZACIÓN TECNOLÓGICA Y EMPRENDIMIENTO - MIPYMES DIGITALES - CAMBIO CLIMÁTICO",2024,"325-PROINNOVATE-IMTEMDCC-2024","IMPLEMENTACIÓN DE UN SISTEMA INTELIGENTE PARA MONITOREO AGROCLIMÁTICO QUE PERMITA MEJORAR PLANES DE PREVENCIÓN PARA LA ROYA AMARILLA Y BROCA EN EL CAFÉ RESILIENTES AL CAMBIO CLIMÁTICO DEL NORTE DE CAJAMARCA",20240916,20250816,"LUCA COFFEE S.A.C","JAEN","JAEN","CAJAMARCA",060801,45000.0000,10285.7100,6857.1400,"SOLES",20250331
"BID 4","PROGRAMA DE INNOVACIÓN MODERNIZACIÓN TECNOLÓGICA Y EMPRENDIMIENTO - MIPYMES DIGITALES - CAMBIO CLIMÁTICO",2024,"326-PROINNOVATE-IMTEMDCC-2024","IMPLEMENTACIÓN DE UN SISTEMA ECOINTELIGENTE PARA LA COLECTA Y PROCESAMIENTO DE PARÁMETROS FÍSICO QUÍMICOS DEL AGUA EN LA GRANJA ACUÍCOLA DE DONPAKAS EN JAÉN - CAJAMARCA  PARA FACILITAR DECISIONES ESTRATÉGICAS EN LA ADAPTACIÓN CLIMÁTICA.",20240604,20250504,"ECOFRIENDLY ENGINEERS S.A.C.","JAEN","JAEN","CAJAMARCA",060801,45000.0000,10285.7100,6857.1400,"SOLES",20250331
"BID 4","PROGRAMA DE INNOVACIÓN MODERNIZACIÓN TECNOLÓGICA Y EMPRENDIMIENTO - MIPYMES DIGITALES - CAMBIO CLIMÁTICO",2024,"327-PROINNOVATE-IMTEMDCC-2024","HIDROPONÍA INTELIGENTE",20240801,20250701,"J&G MULTISERVICIOS INTERNACIONALES S.A.C.","HUANCAYO","HUANCAYO","JUNIN",120101,45000.0000,10285.7100,6857.1400,"SOLES",20250331
"BID 4","PROGRAMA DE INNOVACIÓN MODERNIZACIÓN TECNOLÓGICA Y EMPRENDIMIENTO - MIPYMES DIGITALES - CAMBIO CLIMÁTICO",2024,"328-PROINNOVATE-IMTEMDCC-2024","OPTIMIZACIÓN DE LAS ÁREAS DE PRODUCCIÓN Y COMERCIALIZACIÓN A TRAVÉS DE HERRAMIENTAS DIGITALES Y ECONOMÍA CIRCULAR EN LA INDUSTRIA DEL PISCO",20240620,20250520,"VIÑA  FAMILIA  URBINA SOCIEDAD ANONIMA CERRADA","SANTIAGO DE SURCO","LIMA","LIMA",150140,45000.0000,10288.0000,6857.0000,"SOLES",20250331
"BID 4","PROGRAMA DE INNOVACIÓN MODERNIZACIÓN TECNOLÓGICA Y EMPRENDIMIENTO - MIPYMES DIGITALES - CAMBIO CLIMÁTICO",2024,"329-PROINNOVATE-IMTEMDCC-2024","OPTIMIZACIÓN DE LOS PROCESOS DE PRODUCCIÓN Y COMERCIALIZACIÓN A TRAVÉS DE HERRAMIENTAS DIGITALES Y ECONOMÍA CIRCULAR EN EL SECTOR TEXTIL Y CONFECCIONES",20240722,20250422,"C & V EXPORTACIONES E IMPORTACIONES S.A.C.","LA VICTORIA","LIMA","LIMA",150115,45000.0000,10288.0000,6857.0000,"SOLES",20250331
"BID 4","PROGRAMA DE INNOVACIÓN MODERNIZACIÓN TECNOLÓGICA Y EMPRENDIMIENTO - MIPYMES DIGITALES - CAMBIO CLIMÁTICO",2024,"330-PROINNOVATE-IMTEMDCC-2024","MEJORA DE LA CALIDAD Y LA RENTABILIDAD DEL CULTIVO DE CACAOS NATIVOS EN LA FINCA ECOPERLACHA - LAMAS; MEDIANTE EL USO DE ENERGÍA SOLAR\, RIEGO SOSTENIBLE Y TECNOLOGÍAS DIGITALES.",20240520,20250420,"CHUFLA E.I.R.L.","LAMAS","LAMAS","SAN MARTIN",220501,45000.0000,10285.7100,6857.1400,"SOLES",20250331
"BID 4","PROGRAMA DE INNOVACIÓN MODERNIZACIÓN TECNOLÓGICA Y EMPRENDIMIENTO - MIPYMES DIGITALES - CAMBIO CLIMÁTICO",2024,"331-PROINNOVATE-IMTEMDCC-2024","APLICACIÓN DE BIG DATA Y ANALÍTICA\, PARA MEJORAR LA EFICIENCIA ENERGÉTICA ELÉCTRICA EN LA EMPRESA LOBO SISTEMAS S.A.C.",20240620,20250520,"LOBO SISTEMAS S.A.C.","CAYMA","AREQUIPA","AREQUIPA",040103,40000.0000,11120.0000,6280.0000,"SOLES",20250331
"BID 4","PROGRAMA DE INNOVACIÓN MODERNIZACIÓN TECNOLÓGICA Y EMPRENDIMIENTO - MIPYMES DIGITALES - CAMBIO CLIMÁTICO",2024,"332-PROINNOVATE-IMTEMDCC-2024","IMPLEMENTACIÓN DE PLATAFORMA COLABORATIVA PARA MODELAMIENTO DE NEGOCIOS CIRCULARES\, CAPACITACIÓN Y GESTIÓN DE CALIDAD EN EL RUBRO AGROPECUARIO Y ACUÍCOLA CON FINES DE EXPORTACIÓN\, JUNTO A UN SISTEMA DE CONTROL ORGÁNICO EN LA PRODUCCIÓN DE NUESTROS CLIENTES",20240701,20250501,"EMPRESA DE SERVICIOS GENERALES CONSULTORES E INVERSIONES ESAING S.A.C. - ESAING S.A.C.","CHOLON","MARAÑON","HUANUCO",100702,44550.0000,10170.0000,6780.0000,"SOLES",20250331
"BID 4","PROGRAMA DE INNOVACIÓN MODERNIZACIÓN TECNOLÓGICA Y EMPRENDIMIENTO - MIPYMES DE CALIDAD",2024,"333-PROINNOVATE-IMTEMC-2024","IMPLEMENTACION Y CERTIFICACION DE LA NORMA BRCGS PACKAGING PARA ASEGURAR LA CALIDAD Y SEGURIDAD ALIMENTARIA EN LOS EMPAQUES PRODUCIDOS POR LA EMPRESA MELKOR S.A.C.",20240417,20250417,"MELKOR SAC","CHORRILLOS","LIMA","LIMA",150108,45000.0000,10285.7100,6857.1400,"SOLES",20250331
"BID 4","PROGRAMA DE INNOVACIÓN MODERNIZACIÓN TECNOLÓGICA Y EMPRENDIMIENTO - MIPYMES DIGITALES - CAMBIO CLIMÁTICO",2024,"334-PROINNOVATE-IMTEMDCC-2024","IMPLEMENTACIÓN DE SISTEMA QUE OPTIMICE EL USO DE ENERGÍA FOTOVOLTAICA EN EL PROCESO PRODUCTIVO DE TILAPIA GENERADA A TRAVÉS DE ACUAPONÍA\, Y TRANSFORMACIÓN DIGITAL EN LOS PROCESOSDECULTIVO.",20240808,20250308,"AGRO VETERINARIA MI BUEN PASTOR S.R.L.","CHICLAYO","CHICLAYO","LAMBAYEQUE",140101,44550.0000,10170.0000,6780.0000,"SOLES",20250331
