"FONDO","CONCURSO","ANIO","CONTRATO","TITULO","FECHA_INICIO","FECHA_FIN","NOMBRE_SOLICITANTE","DISTRITO","PROVINCIA","DEPARTAMENTO","UBIGEO","MONTO_RNR","MONTO_FINANCIERO","MONTO_NO_FINANCIERO","MONEDA","FECHA_CORTE"
"FINCYT I","PIBAP",2009,"041-FINCYT-PIBAP-2009","EVALUACION GENETICA DE PLANTAS SUPERIORES DE CAMU CAMU (MYRCIARIA DUBIA MCVAUGH H.B.K.) EN LORETO Y UCAYALI",20090305,20110529,"INSTITUTO DE INVESTIGACIONES DE LA AMAZONIA PERUANA","IQUITOS","MAYNAS","LORETO",160101,316330.0000,2000,215560,"SOLES",20260105
"FINCYT I","PIBAP",2009,"038-FINCYT-PIBAP-2009","SELECCIÓN DE GENOTIPOS SUPERIORES DE CACAO DE ALTO RENDIMIENTO Y RESISTENCIA A ENFERMEDADES",20090219,20110629,"INSTITUTO DE CULTIVOS TROPICALES","LA BANDA DE SHILCAYO","SAN MARTIN","SAN MARTIN",220909,273914.5900,0,198371.11,"SOLES",20260105
"FINCYT I","PIBAP",2009,"002-FINCYT-PIBAP-2009","DOMESTICACION Y CONSERVACION DE PODANTHERA BIFLORA (YUCA DE MONTE)",20090128,20110529,"UNIVERSIDAD PERUANA CAYETANO HEREDIA","SAN MARTIN DE PORRES","LIMA","LIMA",150135,402920.0000,0,185454,"SOLES",20260105
"FINCYT I","PIBAP",2009,"012-FINCYT-PIBAP-2009","UTILIZACION DE LAS HARINAS DE MACROALGAS VERDES Y PARDAS EN EL ALIMENTO BALANCEADO DEL LANGOSTINO BLANCO LITOPENAEUS VANNAMEI Y SU IMPACTO EN EL PROCESO PRODUCTIVO CONTROL EN LA EXCRECION DE DESECHOS Y RESISTENCIA FRENTE AL VIRUS DE LA MANCHA BLANCA",20090128,20110330,"UNIVERSIDAD NACIONAL AGRARIA LA MOLINA","LA MOLINA","LIMA","LIMA",150114,214184.5200,0,118675,"SOLES",20260105
"FINCYT I","PIBAP",2009,"001-FINCYT-PIBAP-2009","BASES CIENTIFICAS Y TECNOLOGICAS PARA INCREMENTAR LA PRODUCTIVIDAD DEL CULTIVO DE CONCHAS DE ABANICO EN AREAS DE REPOBLAMIENTO EN LA BAHIA DE SECHURA",20090128,20111027,"UNIVERSIDAD NACIONAL AGRARIA LA MOLINA","LA MOLINA","LIMA","LIMA",150114,401192.6400,0,57514,"SOLES",20260105
"FINCYT I","PIBAP",2009,"017-FINCYT-PIBAP-2009","PATOGENOS DE ETIOLOGIA EN PAICHE (ARAPAIMA GIGAS) DURANTE LA ETAPA DE ALEVINAJE HASTA ADULTO: IDENTIFICACION\, FRECUENCIA Y CARACTERIZACION",20090204,20120229,"UNIVERSIDAD PERUANA CAYETANO HEREDIA","SAN MARTIN DE PORRES","LIMA","LIMA",150135,404005.0000,0,344220,"SOLES",20260105
"FINCYT I","PIBAP",2009,"016-FINCYT-PIBAP-2009","BIOTECNOLOGIA MOLECULAR EN ACUICULTURA: DESARROLLO DE UN METODO GENETICO DE IDENTIFICACION DEL SEXO EN PAICHE\, HERRAMIENTA INDISPENSABLE PARA LA INNOVACION TECNOLOGICA DE SU CRIANZA EN LA AMAZONIA PERUANA",20090129,20110928,"UNIVERSIDAD PERUANA CAYETANO HEREDIA","SAN MARTIN DE PORRES","LIMA","LIMA",150135,404050.0000,0,537818.48,"SOLES",20260105
"FINCYT I","PIBAP",2009,"021-FINCYT-PIBAP-2009","REGENERADOR DE TEJIDOS BLANDOS Y OSEOS CON TECNOLOGIA MEJORADA BASADA EN FACTORES FISICOS COMBINADOS",20090206,20120819,"PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU","SAN MIGUEL","LIMA","LIMA",150136,176345.6900,5210,55390,"SOLES",20260105
"FINCYT I","PIBAP",2009,"020-FINCYT-PIBAP-2009","EQUIPO TELEMEDICO DE SOPORTE DE VIDA PARA NEONATOS CRITICOS",20090206,20111230,"PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU","SAN MIGUEL","LIMA","LIMA",150136,400939.4400,12150,232029.85,"SOLES",20260105
"FINCYT I","PIBAP",2009,"027-FINCYT-PIBAP-2009","HISTORIA CLINICA AUTOMATIZADA CON APLICACIONES A LA ICTERICIA EXTRAHEPATICA",20090209,20130123,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","LIMA","LIMA","LIMA",150101,397760.9200,0,85575.51,"SOLES",20260105
"FINCYT I","PIBAP",2009,"014-FINCYT-PIBAP-2009","ZONIFICACION AGRICOLA DE RIESGOS CLIMATICOS PARA CULTIVOS DE SEGURIDAD ALIMENTARIA Y AGROEXPORTACION EN LAS REGIONES DE AYACUCHO Y HUANCAVELICA",20090129,20121028,"SERVICIO NACIONAL METEOROLOGIA E HIDROL.","JESUS MARIA","LIMA","LIMA",150113,401038.8000,0,474699.5,"SOLES",20260105
"FINCYT I","PIBAP",2009,"019-FINCYT-PIBAP-2009","SIMULADOR DE MARCHA CON ENTORNO VIRTUAL PARA TELEREHABILITACION DE PERSONAS CON LESIONES MOTORAS EN SUS MIEMBROS INFERIORES",20090206,20120705,"PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU","SAN MIGUEL","LIMA","LIMA",150136,402455.9000,21000,356956,"SOLES",20260105
"FINCYT I","PIBAP",2009,"040-FINCYT-PIBAP-2009","PLATAFORMA DE CALCULO ESTOCASTICO DE RUTAS OPTIMAS PARA TRANSPORTE PUBLICO Y PRIVADO",20090305,20120304,"UNIVERSIDAD CATOLICA SAN PABLO","AREQUIPA","AREQUIPA","AREQUIPA",040101,317884.6800,0,13120,"SOLES",20260105
"FINCYT I","PIBAP",2009,"023-FINCYT-PIBAP-2009","ESTANDARIZACIÓN DE UN EXTRACTO SECO PURIFICADO DE HOJAS UNCARIA TORMENTOSA (WILD.) DC. CULTIVADAS CLONALMENTE CON FINES DE FORMULACIÓN FARMACOLOGICA",20090204,20130129,"UNIVERSIDAD NACIONAL AGRARIA LA MOLINA","LA MOLINA","LIMA","LIMA",150114,400834.7000,34400,688761,"SOLES",20260105
"FINCYT I","PIBAP",2009,"028-FINCYT-PIBAP-2009","SISTEMA AUTOMATICO DE DIAGNOSTICO DE PARASITOS INTESTINALES  A TRAVES DE IMAGENES DIGITALES",20090209,20120108,"UNIVERSIDAD NACIONAL DE SAN AGUSTIN","AREQUIPA","AREQUIPA","AREQUIPA",040101,403984.0000,0,47708,"SOLES",20260105
"FINCYT I","PIBAP",2008,"001-FINCYT-PIBAP-2008","EVALUACION DE FACTORES BIOQUIMICOS Y MOLECULARES PARA LA DETERMINACION DE BIOMARCADORES DE CARIES Y PERIODONTITIS.",20080131,20101231,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","LIMA","LIMA","LIMA",150101,68920.0000,0,183244.37,"SOLES",20260105
"FINCYT I","PIBAP",2007,"002-FINCYT-PIBAP-2007","MEJORA DE LA CALIDAD DE LA HARINA DE PLUMAS MEDIANTE PROCESAMIENTO CON ENZIMAS QUERATINASAS Y SU EVALUACIÓN EN LA ALIMENTACIÓN DE AVES Y TRUCHAS.",20071221,20111220,"UNIVERSIDAD NACIONAL AGRARIA LA MOLINA","LA MOLINA","LIMA","LIMA",150114,125102.2600,0,18800,"SOLES",20260105
